V1,V2,V3
359.7083,-10.417,-5552
359.725,-10.417,-5546
359.7416,-10.417,-5526
359.7583,-10.417,-5488
359.775,-10.417,-5442
359.7917,-10.417,-5399
359.8083,-10.417,-5384
359.825,-10.417,-5392
359.8416,-10.417,-5424
359.8583,-10.417,-5468
359.875,-10.417,-5522
359.8916,-10.417,-5566
359.9083,-10.417,-5596
359.925,-10.417,-5610
359.9417,-10.417,-5602
359.9583,-10.417,-5578
359.975,-10.417,-5540
359.9916,-10.417,-5494
359.5083,-10.4334,-5656
359.525,-10.4334,-5640
359.5417,-10.4334,-5618
359.5583,-10.4334,-5592
359.575,-10.4334,-5568
359.5916,-10.4334,-5544
359.6083,-10.4334,-5526
359.625,-10.4334,-5512
359.6416,-10.4334,-5506
359.6583,-10.4334,-5508
359.675,-10.4334,-5514
359.6917,-10.4334,-5520
359.7083,-10.4334,-5520
359.725,-10.4334,-5510
359.7416,-10.4334,-5484
359.7583,-10.4334,-5450
359.775,-10.4334,-5410
359.7917,-10.4334,-5386
359.8083,-10.4334,-5384
359.825,-10.4334,-5400
359.8416,-10.4334,-5440
359.8583,-10.4334,-5490
359.875,-10.4334,-5542
359.8916,-10.4334,-5580
359.9083,-10.4334,-5602
359.925,-10.4334,-5602
359.9417,-10.4334,-5584
359.9583,-10.4334,-5554
359.975,-10.4334,-5514
359.9916,-10.4334,-5470
359.5083,-10.4498,-5616
359.525,-10.4498,-5598
359.5417,-10.4498,-5576
359.5583,-10.4498,-5554
359.575,-10.4498,-5538
359.5916,-10.4498,-5524
359.6083,-10.4498,-5516
359.625,-10.4498,-5508
359.6416,-10.4498,-5502
359.6583,-10.4498,-5500
359.675,-10.4498,-5496
359.6917,-10.4498,-5494
359.7083,-10.4498,-5484
359.725,-10.4498,-5466
359.7416,-10.4498,-5436
359.7583,-10.4498,-5398
359.775,-10.4498,-5368
359.7917,-10.4498,-5373
359.8083,-10.4498,-5384
359.825,-10.4498,-5414
359.8416,-10.4498,-5460
359.8583,-10.4498,-5516
359.875,-10.4498,-5564
359.8916,-10.4498,-5598
359.9083,-10.4498,-5604
359.925,-10.4498,-5592
359.9417,-10.4498,-5566
359.9583,-10.4498,-5532
359.975,-10.4498,-5494
359.9916,-10.4498,-5462
359.5083,-10.4662,-5586
359.525,-10.4662,-5556
359.5417,-10.4662,-5530
359.5583,-10.4662,-5514
359.575,-10.4662,-5506
359.5916,-10.4662,-5502
359.6083,-10.4662,-5500
359.625,-10.4662,-5500
359.6416,-10.4662,-5498
359.6583,-10.4662,-5492
359.675,-10.4662,-5484
359.6917,-10.4662,-5470
359.7083,-10.4662,-5450
359.725,-10.4662,-5422
359.7416,-10.4662,-5386
359.7583,-10.4662,-5350
359.775,-10.4662,-5321
359.7917,-10.4662,-5344
359.8083,-10.4662,-5382
359.825,-10.4662,-5430
359.8416,-10.4662,-5486
359.8583,-10.4662,-5542
359.875,-10.4662,-5588
359.8916,-10.4662,-5608
359.9083,-10.4662,-5606
359.925,-10.4662,-5584
359.9417,-10.4662,-5550
359.9583,-10.4662,-5516
359.975,-10.4662,-5484
359.9916,-10.4662,-5466
359.5083,-10.4826,-5562
359.525,-10.4826,-5522
359.5417,-10.4826,-5492
359.5583,-10.4826,-5478
359.575,-10.4826,-5474
359.5916,-10.4826,-5480
359.6083,-10.4826,-5488
359.625,-10.4826,-5496
359.6416,-10.4826,-5496
359.6583,-10.4826,-5492
359.675,-10.4826,-5478
359.6917,-10.4826,-5456
359.7083,-10.4826,-5424
359.725,-10.4826,-5388
359.7416,-10.4826,-5354
359.7583,-10.4826,-5326
359.775,-10.4826,-5318
359.7917,-10.4826,-5346
359.8083,-10.4826,-5396
359.825,-10.4826,-5452
359.8416,-10.4826,-5514
359.8583,-10.4826,-5568
359.875,-10.4826,-5606
359.8916,-10.4826,-5618
359.9083,-10.4826,-5604
359.925,-10.4826,-5574
359.9417,-10.4826,-5538
359.9583,-10.4826,-5502
359.975,-10.4826,-5482
359.9916,-10.4826,-5484
359.5083,-10.499,-5552
359.525,-10.499,-5500
359.5417,-10.499,-5464
359.5583,-10.499,-5452
359.575,-10.499,-5454
359.5916,-10.499,-5466
359.6083,-10.499,-5484
359.625,-10.499,-5498
359.6416,-10.499,-5506
359.6583,-10.499,-5502
359.675,-10.499,-5484
359.6917,-10.499,-5454
359.7083,-10.499,-5414
359.725,-10.499,-5370
359.7416,-10.499,-5332
359.7583,-10.499,-5325
359.775,-10.499,-5330
359.7917,-10.499,-5366
359.8083,-10.499,-5420
359.825,-10.499,-5480
359.8416,-10.499,-5538
359.8583,-10.499,-5588
359.875,-10.499,-5616
359.8916,-10.499,-5618
359.9083,-10.499,-5598
359.925,-10.499,-5566
359.9417,-10.499,-5528
359.9583,-10.499,-5496
359.975,-10.499,-5488
359.9916,-10.499,-5510
359.5083,-10.5154,-5544
359.525,-10.5154,-5490
359.5417,-10.5154,-5452
359.5583,-10.5154,-5436
